geolocation,name,nametype,:@computed_region_nnqa_25f4,fall,year,recclass,reclat,reclong,id,mass,:@computed_region_cbhk_fwbd
"{'type': 'Point', 'coordinates': [27.13333, 38.3]}",Sediköy,Valid,,Fell,1917-01-01T00:00:00.000,L6,38.300000,27.133330,23473,240,
"{'type': 'Point', 'coordinates': [84.78333, 26.75]}",Segowlie,Valid,,Fell,1853-01-01T00:00:00.000,LL6,26.750000,84.783330,23476,6930,
"{'type': 'Point', 'coordinates': [107.33333, -7.23333]}",Selakopi,Valid,,Fell,1939-01-01T00:00:00.000,H5,-7.233330,107.333330,23481,1590,
"{'type': 'Point', 'coordinates': [4.98333, 22.83333]}",Seldebourak,Valid,,Fell,1947-01-01T00:00:00.000,H5,22.833330,4.983330,23483,150,
"{'type': 'Point', 'coordinates': [79, 22.25]}",Semarkona,Valid,,Fell,1940-01-01T00:00:00.000,LL3.00,22.250000,79.000000,23487,691,
"{'type': 'Point', 'coordinates': [-0.05, 41.71667]}",Sena,Valid,,Fell,1773-01-01T00:00:00.000,H4,41.716670,-0.050000,23495,4000,
"{'type': 'Point', 'coordinates': [140.51167, 39.43833]}",Senboku,Valid,,Fell,1993-01-01T00:00:00.000,H6,39.438330,140.511670,23496,866,
"{'type': 'Point', 'coordinates': [79.50083, 21.68389]}",Seoni,Valid,,Fell,1966-01-01T00:00:00.000,H6,21.683890,79.500830,23500,20000,
"{'type': 'Point', 'coordinates': [23.56667, 41.05]}",Seres,Valid,,Fell,1818-01-01T00:00:00.000,H4,41.050000,23.566670,23501,8500,
"{'type': 'Point', 'coordinates': [-36.76667, -8.38333]}",Serra de Magé,Valid,,Fell,1923-01-01T00:00:00.000,Eucrite-cm,-8.383330,-36.766670,23502,1800,
"{'type': 'Point', 'coordinates': [-44.21667, -19.46667]}",Sete Lagoas,Valid,,Fell,1908-01-01T00:00:00.000,H4,-19.466670,-44.216670,23504,350,
"{'type': 'Point', 'coordinates': [-6, 37.41667]}",Sevilla,Valid,,Fell,1862-01-01T00:00:00.000,LL4,37.416670,-6.000000,23508,180,
"{'type': 'Point', 'coordinates': [36.6, 50.61667]}",Sevrukovo,Valid,,Fell,1874-01-01T00:00:00.000,L5,50.616670,36.600000,23509,101000,
"{'type': 'Point', 'coordinates': [10.71667, 34.75]}",Sfax,Valid,,Fell,1989-01-01T00:00:00.000,L6,34.750000,10.716670,23512,7000,
"{'type': 'Point', 'coordinates': [87.3, 23.1]}",Shalka,Valid,,Fell,1850-01-01T00:00:00.000,Diogenite,23.100000,87.300000,23521,4000,
"{'type': 'Point', 'coordinates': [-76.7, 37.83333]}",Sharps,Valid,921,Fell,1921-01-01T00:00:00.000,H3.4,37.833330,-76.700000,23525,1265,40
"{'type': 'Point', 'coordinates': [-80.16667, 44.05]}",Shelburne,Valid,,Fell,1904-01-01T00:00:00.000,L5,44.050000,-80.166670,23529,18600,
"{'type': 'Point', 'coordinates': [84.83333, 24.55]}",Shergotty,Valid,,Fell,1865-01-01T00:00:00.000,Martian (shergottite),24.550000,84.833330,23530,5000,
"{'type': 'Point', 'coordinates': [120.06667, 33.65]}",Sheyang,Valid,,Fell,1976-01-01T00:00:00.000,L6,33.650000,120.066670,23531,605,
"{'type': 'Point', 'coordinates': [87.5775, 25.85]}",Shikarpur,Valid,,Fell,1921-01-01T00:00:00.000,L6,25.850000,87.577500,23534,3679.7,
"{'type': 'Point', 'coordinates': [125.66667, 43.5]}",Shuangyang,Valid,,Fell,1971-01-01T00:00:00.000,H5,43.500000,125.666670,23582,3900,
"{'type': 'Point', 'coordinates': [74.83333, 33.71667]}",Shupiyan,Valid,,Fell,1912-01-01T00:00:00.000,H6,33.716670,74.833330,23583,5000,
"{'type': 'Point', 'coordinates': [90.16667, 24.33333]}",Shytal,Valid,,Fell,1863-01-01T00:00:00.000,L6,24.333330,90.166670,23584,3200,
"{'type': 'Point', 'coordinates': [11.6, 43.11667]}",Siena,Valid,,Fell,1794-01-01T00:00:00.000,LL5,43.116670,11.600000,23586,3700,
"{'type': 'Point', 'coordinates': [134.65333, 46.16]}",Sikhote-Alin,Valid,,Fell,1947-01-01T00:00:00.000,"Iron, IIAB",46.160000,134.653330,23593,23000000,
"{'type': 'Point', 'coordinates': [-101.38333, 20.93333]}",Silao,Valid,,Fell,1995-01-01T00:00:00.000,H5,20.933330,-101.383330,23594,1710,
"{'type': 'Point', 'coordinates': [27.26667, 44.11667]}",Silistra,Valid,,Fell,1917-01-01T00:00:00.000,Achondrite-ung,44.116670,27.266670,55584,0.15,
"{'type': 'Point', 'coordinates': [7.53333, 49.98333]}",Simmern,Valid,,Fell,1920-01-01T00:00:00.000,H5,49.983330,7.533330,23603,1222,
"{'type': 'Point', 'coordinates': [32.48333, 30.9]}",Sinai,Valid,,Fell,1916-01-01T00:00:00.000,L6,30.900000,32.483330,23606,1455,
"{'type': 'Point', 'coordinates': [69.55, 26.21667]}",Sindhri,Valid,,Fell,1901-01-01T00:00:00.000,H5,26.216670,69.550000,23611,8400,
"{'type': 'Point', 'coordinates': [9.2, 39.3]}",Sinnai,Valid,,Fell,1956-01-01T00:00:00.000,H6,39.300000,9.200000,23613,2000,
"{'type': 'Point', 'coordinates': [-103.66667, 42.58333]}",Sioux County,Valid,2351,Fell,1933-01-01T00:00:00.000,Eucrite-mmict,42.583330,-103.666670,23614,4100,19
"{'type': 'Point', 'coordinates': [82.58333, 20.91667]}",Sitathali,Valid,,Fell,1875-01-01T00:00:00.000,H5,20.916670,82.583330,23616,1600,
"{'type': 'Point', 'coordinates': [36.13583, 39.82467]}",Sivas,Valid,,Fell,1989-01-01T00:00:00.000,H6,39.824670,36.135830,23617,40000,
"{'type': 'Point', 'coordinates': [119.86667, 32.43333]}",Sixiangkou,Valid,,Fell,1989-01-01T00:00:00.000,L5,32.433330,119.866670,23619,630,
"{'type': 'Point', 'coordinates': [10.86667, 59.73333]}",Ski,Valid,,Fell,1848-01-01T00:00:00.000,L6,59.733330,10.866670,23621,850,
"{'type': 'Point', 'coordinates': [15.6, 45.68333]}",Slavetic,Valid,,Fell,1868-01-01T00:00:00.000,H5,45.683330,15.600000,23626,1708,
"{'type': 'Point', 'coordinates': [35, 55]}",Slobodka,Valid,,Fell,1818-01-01T00:00:00.000,L4,55.000000,35.000000,23645,2750,
"{'type': 'Point', 'coordinates': [84.06667, 27.13333]}",Soheria,Valid,,Fell,1960-01-01T00:00:00.000,OC,27.133330,84.066670,23660,72.900000000000006,
"{'type': 'Point', 'coordinates': [21.86667, 43.66667]}",Soko-Banja,Valid,,Fell,1877-01-01T00:00:00.000,LL4,43.666670,21.866670,23661,80000,
"{'type': 'Point', 'coordinates': [1.73333, 47.36667]}",Sologne,Valid,,Fell,1860-01-01T00:00:00.000,H5,47.366670,1.733330,23663,54,
"{'type': 'Point', 'coordinates': [22.005, 54.00883]}",Sołtmany,Valid,,Fell,2011-01-01T00:00:00.000,L6,54.008830,22.005000,53829,1066,
"{'type': 'Point', 'coordinates': [135.33333, 35.16667]}",Sone,Valid,,Fell,1866-01-01T00:00:00.000,H5,35.166670,135.333330,23667,17100,
"{'type': 'Point', 'coordinates': [125, 45.25]}",Songyuan,Valid,,Fell,1993-01-01T00:00:00.000,L6,45.250000,125.000000,23668,36900,
"{'type': 'Point', 'coordinates': [23.5, 44.41667]}",Sopot,Valid,,Fell,1927-01-01T00:00:00.000,OC,44.416670,23.500000,23670,958,
"{'type': 'Point', 'coordinates': [33.63333, 1.7]}",Soroti,Valid,,Fell,1945-01-01T00:00:00.000,"Iron, ungrouped",1.700000,33.633330,23671,2050,
"{'type': 'Point', 'coordinates': [0.05, 44.75]}",St. Caprais-de-Quinsac,Valid,,Fell,1883-01-01T00:00:00.000,L6,44.750000,0.050000,23081,360,
"{'type': 'Point', 'coordinates': [-1.5, 46.95]}",St. Christophe-la-Chartreuse,Valid,,Fell,1841-01-01T00:00:00.000,L6,46.950000,-1.500000,23082,5500,
